event-id,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
209274808,2008-12-01 06:00:00.000,8.9885,47.736,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),499137.78421597724,5286958.462817095,32N,Central European Time,2008-12-01 07:00:00.000
209274809,2008-12-01 07:00:00.000,8.998,47.7385,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),499850.05660659366,5287236.252555979,32N,Central European Time,2008-12-01 08:00:00.000
209274810,2008-12-01 11:00:00.000,8.9988,47.74,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),499910.036548053,5287402.962477679,32N,Central European Time,2008-12-01 12:00:00.000
209274811,2008-12-01 23:00:00.000,9.0098,47.7265,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500734.89143683086,5285902.609409912,32N,Central European Time,2008-12-02 00:00:00.000
209274812,2008-12-02 07:00:00.000,9.0126,47.73183,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500944.76402139565,5286495.019059062,32N,Central European Time,2008-12-02 08:00:00.000
209274813,2008-12-02 09:00:00.000,9.0013,47.7375,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500097.46507197083,5287125.110687633,32N,Central European Time,2008-12-02 10:00:00.000
209274814,2008-12-02 13:00:00.000,9.0016,47.73767,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500119.9566211804,5287144.00503499,32N,Central European Time,2008-12-02 14:00:00.000
209274815,2008-12-02 17:00:00.000,9.0086,47.7275,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500644.89238652715,5286013.739253999,32N,Central European Time,2008-12-02 18:00:00.000
209274816,2008-12-03 06:00:00.000,9.0081,47.72783,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500607.39480647596,5286050.4115918195,32N,Central European Time,2008-12-03 07:00:00.000
209274817,2008-12-03 07:00:00.000,9.0065,47.73,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500487.3953395748,5286291.575323854,32N,Central European Time,2008-12-03 08:00:00.000
209274818,2008-12-03 09:00:00.000,9.008,47.73183,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500599.85017258546,5286494.9731752165,32N,Central European Time,2008-12-03 10:00:00.000
209274819,2008-12-03 11:00:00.000,9.0165,47.73117,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501237.2066115805,5286421.721201057,32N,Central European Time,2008-12-03 12:00:00.000
209274820,2008-12-03 13:00:00.000,9.0163,47.731,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501222.21414539637,5286402.824120101,32N,Central European Time,2008-12-03 14:00:00.000
209274821,2008-12-03 16:00:00.000,9.0191,47.72583,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501432.3067784152,5285828.275405914,32N,Central European Time,2008-12-03 17:00:00.000
209274822,2008-12-03 18:00:00.000,9.015,47.7225,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501124.91994742077,5285458.109907818,32N,Central European Time,2008-12-03 19:00:00.000
209274823,2008-12-04 07:00:00.000,9.0143,47.7295,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501072.2800092841,5286236.083588253,32N,Central European Time,2008-12-04 08:00:00.000
209274824,2008-12-04 09:00:00.000,9.0163,47.73117,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501222.2101678418,5286421.718024625,32N,Central European Time,2008-12-04 10:00:00.000
209274825,2008-12-04 11:00:00.000,9.0156,47.7315,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501169.7152251636,5286458.383616684,32N,Central European Time,2008-12-04 12:00:00.000
209274826,2008-12-04 16:00:00.000,9.0115,47.7315,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500862.2900702886,5286458.329815929,32N,Central European Time,2008-12-04 17:00:00.000
209274827,2008-12-04 17:00:00.000,9.0151,47.7225,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501132.41941372067,5285458.111365338,32N,Central European Time,2008-12-04 18:00:00.000
209274828,2008-12-04 23:00:00.000,9.0153,47.72233,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501147.4220793331,5285439.220433582,32N,Central European Time,2008-12-05 00:00:00.000
209274829,2008-12-05 06:00:00.000,9.0153,47.7225,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501147.4183463195,5285458.114309431,32N,Central European Time,2008-12-05 07:00:00.000
209274830,2008-12-05 09:00:00.000,9.0161,47.73117,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501207.21372410184,5286421.71488693,32N,Central European Time,2008-12-05 10:00:00.000
209274831,2008-12-05 13:00:00.000,9.0211,47.72717,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501582.24596304464,5285977.242641203,32N,Central European Time,2008-12-05 14:00:00.000
209274832,2008-12-05 18:00:00.000,9.0148,47.7225,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501109.92101481976,5285458.107021831,32N,Central European Time,2008-12-05 19:00:00.000
209274833,2008-12-06 06:00:00.000,9.0116,47.72533,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500869.89097643003,5285772.59366015,32N,Central European Time,2008-12-06 07:00:00.000
209274834,2008-12-06 07:00:00.000,9.0168,47.73033,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501259.72153375286,5286328.36792736,32N,Central European Time,2008-12-06 08:00:00.000
209274835,2008-12-06 18:00:00.000,9.0151,47.72267,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501132.41572949465,5285477.005241751,32N,Central European Time,2008-12-06 19:00:00.000
209274836,2008-12-06 23:00:00.000,9.015,47.72233,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501124.923607238,5285439.216031967,32N,Central European Time,2008-12-07 00:00:00.000
209274837,2008-12-07 06:00:00.000,9.0148,47.7215,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501109.9422559703,5285346.966583714,32N,Central European Time,2008-12-07 07:00:00.000
209274838,2008-12-07 07:00:00.000,9.0171,47.72817,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501282.2695782681,5286088.309200963,32N,Central European Time,2008-12-07 08:00:00.000
209274839,2008-12-07 09:00:00.000,9.0178,47.73133,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501334.6794077529,5286439.525290954,32N,Central European Time,2008-12-07 10:00:00.000
209274840,2008-12-07 18:00:00.000,9.0146,47.72217,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501094.9289971105,5285421.427827849,32N,Central European Time,2008-12-07 19:00:00.000
209274841,2008-12-07 23:00:00.000,9.0178,47.73133,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501334.6794077529,5286439.525290954,32N,Central European Time,2008-12-08 00:00:00.000
209274842,2008-12-08 06:00:00.000,9.0203,47.7295,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501522.1877039832,5286236.18411125,32N,Central European Time,2008-12-08 07:00:00.000
209274843,2008-12-08 09:00:00.000,9.0238,47.72883,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501784.65674706694,5286161.794663213,32N,Central European Time,2008-12-08 10:00:00.000
209274844,2008-12-08 13:00:00.000,9.0195,47.73,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501462.1860163713,5286291.738988193,32N,Central European Time,2008-12-08 14:00:00.000
209274845,2008-12-09 07:00:00.000,9.0081,47.69683,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500607.7551325025,5282605.063836838,32N,Central European Time,2008-12-09 08:00:00.000
209274846,2008-12-09 09:00:00.000,9.0045,47.69917,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500337.6266333804,5282865.109403438,32N,Central European Time,2008-12-09 10:00:00.000
209274847,2008-12-09 13:00:00.000,9.0426,47.69433,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503196.494567073,5282328.061087828,32N,Central European Time,2008-12-09 14:00:00.000
209274848,2008-12-09 16:00:00.000,9.0355,47.702,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),502663.35484200146,5283180.23614493,32N,Central European Time,2008-12-09 17:00:00.000
209274849,2008-12-09 18:00:00.000,9.0433,47.6965,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503248.8843282467,5282569.263829312,32N,Central European Time,2008-12-09 19:00:00.000
209274850,2008-12-09 23:00:00.000,9.0053,47.69783,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500397.65933500446,5282716.185625447,32N,Central European Time,2008-12-10 00:00:00.000
209274851,2008-12-10 05:00:00.000,9.005,47.69817,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500375.1478771254,5282753.971719318,32N,Central European Time,2008-12-10 06:00:00.000
209274852,2008-12-10 07:00:00.000,9.0056,47.696,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500420.1830561009,5282512.801100128,32N,Central European Time,2008-12-10 08:00:00.000
